"","Какими из этих сайтов вы регулярно пользуетесь?","Сколько лет вы одновременно совмещали учебу в ВУЗе и работу в IT сфере?","В каком возрасте написали первую программу?","Работает/работал ли кто-нибудь из ваших родителей в IT секторе? (Или имеет техническое образование)","Сколько часов в месяц вы тратите на самообразование?"
"","StackOverflow, HabraHabr","0","12","yes","60"
"","StackOverflow, HabraHabr","2","22","no","40"
"","GitHub, StackOverflow, HabraHabr","1","15","no","24"
"","HabraHabr","0","0","no","60"
"","GitHub, StackOverflow, HabraHabr","0","16","no","80"
"","StackOverflow, HabraHabr","2.5","11","no","20"
"","","2","15","no","2"
"","HabraHabr","1","17","no","20"
"","HabraHabr","0","16","no","60"
"","GitHub, StackOverflow, HabraHabr","2","15","yes","8"
"","StackOverflow, HabraHabr","0","15","no","30"
"","","1.25","18","yes","20"
"","HabraHabr","0","1","no","32"
"","StackOverflow, HabraHabr","2","12","yes","10"
"","StackOverflow, HabraHabr","0","14","no","40"
"","GitHub, HabraHabr","3","12","no","50"
"","StackOverflow, HabraHabr","0.25","15","no","30"
"","GitHub, StackOverflow, HabraHabr","2","","no","20"
"","","0","14","yes","40"
"","GitHub, StackOverflow, HabraHabr","2","12","yes","30"
"","GitHub, StackOverflow, HabraHabr","0.25","17","no","32"
"","GitHub, StackOverflow, HabraHabr","1.5","17","no","70"
"","StackOverflow","1.5","16","yes","40"
"","HabraHabr","0","12","no","2"
"","GitHub, StackOverflow, HabraHabr","1","14","no","24"
"","StackOverflow, HabraHabr","3","12","no","40"
"","GitHub, StackOverflow","2","16","yes","30"
"","StackOverflow, HabraHabr","3","7","yes","5"
"","StackOverflow, HabraHabr","1","20","no","30"
"","GitHub, StackOverflow, HabraHabr","1","14","yes","30"
"","GitHub","1","15","no","36"
"","StackOverflow, HabraHabr","0","17","no","10"
"","GitHub, StackOverflow, HabraHabr","5","14","yes","40"
"","GitHub, StackOverflow, HabraHabr","2","16","no","30"
"","StackOverflow","3.5","13","no","44"
"","GitHub, StackOverflow, HabraHabr","0.5","10","yes","30"
"","HabraHabr","1.5","13","no","20"
"","StackOverflow, HabraHabr","4","13","yes","40"
"","GitHub, StackOverflow, HabraHabr","2","21","no","3"
"","","0","","no","30"
"","","5","14","yes","1"
"","GitHub, StackOverflow","2","12","no","40"
"","GitHub, StackOverflow, HabraHabr","0","13","no","24"
"","GitHub","3","15","no","30"
"","GitHub, StackOverflow, HabraHabr","2","18","no","150"
"","","0","","",""
"","GitHub, StackOverflow, HabraHabr","2","24","no","6"
"","GitHub, StackOverflow","1","15","no","10"
"","HabraHabr","0","27","yes","30"
"","StackOverflow","1","12","yes","10"
"","GitHub, StackOverflow, HabraHabr","2","20","no","25"
"","HabraHabr","1","19","yes","10"
"","","2.5","15","no","2"
"","GitHub, StackOverflow, HabraHabr","2","18","no","106"
"","GitHub, StackOverflow, HabraHabr","0","6","yes","10"
"","HabraHabr","1.5","21","no","60"
"","GitHub, StackOverflow, HabraHabr","0","13","no","40"
"","","2","","yes","50"
"","StackOverflow, HabraHabr","1","20","yes","20"
"","GitHub, StackOverflow, HabraHabr","2","7","no","20"
"","HabraHabr","0","16","no","20"
"","GitHub, StackOverflow","1","11","yes","60"
"","GitHub, StackOverflow, HabraHabr","0.5","0","no","40"
"","","0","14","no","0"
"","HabraHabr","0","0","no","10"
"","StackOverflow, HabraHabr","0.25","16","no","30"
"","GitHub, StackOverflow, HabraHabr","2","17","yes","30"
"","StackOverflow, HabraHabr","2","18","no","20"
"","StackOverflow, HabraHabr","1.5","18","no","4"
"","","1","60","yes","60"
"","GitHub, StackOverflow, HabraHabr","0.5","14","no","20"
"","GitHub, StackOverflow, HabraHabr","0","14","no","60"
"","GitHub, StackOverflow, HabraHabr","0","15","no","50"
"","GitHub, StackOverflow","0","24","no","30"
"","StackOverflow, HabraHabr","3","18","no","60"
"","StackOverflow, HabraHabr","3","15","no","50"
"","HabraHabr","0","17","yes","20"
"","","0","18","no","30"
"","GitHub, StackOverflow, HabraHabr","1","20","no","90"
"","StackOverflow","2","9","yes","30"
"","GitHub, HabraHabr","0","29","no","30"
"","GitHub","5","18","no","20"
"","StackOverflow, HabraHabr","2.5","14","yes","10"
"","GitHub, StackOverflow","2","16","no","12"
"","GitHub, StackOverflow","3","15","no","6"
"","GitHub, StackOverflow","0.5","14","yes","2"
"","GitHub","4","12","yes",""
"","HabraHabr","1","17","yes","20"
"","GitHub, HabraHabr","2","13","yes","25"
"","GitHub, StackOverflow, HabraHabr","4","11","yes","60"
"","GitHub, StackOverflow","2.5","14","no","30"
"","StackOverflow, HabraHabr","2","20","","10"
"","GitHub, StackOverflow, HabraHabr","0","12","no","15"
"","HabraHabr","0","19","no","2"
"","GitHub, StackOverflow","3","15","no","20"
"","GitHub, StackOverflow, HabraHabr","0","23","no","12"
"","HabraHabr","1","18","yes","16"
"","StackOverflow, HabraHabr","0","17","no","20"
"","GitHub","1","17","no","40"
"","HabraHabr","1","21","no","20"
"","HabraHabr","1","16","no","80"
"","GitHub, StackOverflow","0","20","no","8"
"","StackOverflow","0.5","18","no","10"
"","StackOverflow, HabraHabr","0","15","no","30"
"","StackOverflow","2","18","no",""
"","GitHub, StackOverflow, HabraHabr","3","17","no","60"
"","HabraHabr","0","18","no","30"
"","StackOverflow","0","11","yes","10"
"","HabraHabr","0","0","no","10"
"","StackOverflow, HabraHabr","4","13","yes","20"
"","","0","18","yes","10"
"","HabraHabr","2","12","yes","20"
"","HabraHabr","0.5","15","yes","20"
"","","0","12","no","40"
"","GitHub, HabraHabr","1","23","no","30"
"","GitHub, StackOverflow","3","16","no","40"
"","StackOverflow, HabraHabr","4.5","11","no","100"
"","StackOverflow","0","16","yes","10"
"","StackOverflow, HabraHabr","3","17","no","30"
"","HabraHabr","2","16","no","90"
"","GitHub, StackOverflow","2","14","no","50"
"","StackOverflow","0","19","yes","30"
"","","4.5","12","no","110"
"","GitHub, StackOverflow, HabraHabr","0","8","yes","10"
"","GitHub, StackOverflow","2","7","yes","20"
"","StackOverflow, HabraHabr","1","12","yes","40"
"","GitHub, StackOverflow, HabraHabr","1","19","","10"
"","StackOverflow, HabraHabr","0","16","no","20"
"","GitHub, StackOverflow, HabraHabr","0.25","17","no","16"
"","","1.5","18","no","60"
"","GitHub, HabraHabr","0","18","no","60"
"","GitHub, StackOverflow, HabraHabr","3","16","no","40"
"","GitHub, StackOverflow, HabraHabr","1.5","14","yes","60"
"","","0","15","no","30"
"","GitHub, StackOverflow","2","11","no","40"
"","StackOverflow","0","14","no",""
"","","0","17","no","5"
"","GitHub, StackOverflow, HabraHabr","1","16","no","0"
"","","1.5","15","no","70"
